Value,Date
4.2363,01-01-2010
4.2363,02-01-2010
4.2363,03-01-2010
4.2253,04-01-2010
4.193,05-01-2010
4.1585,06-01-2010
4.1731,07-01-2010
4.1655,08-01-2010
4.1655,09-01-2010
4.1655,10-01-2010
4.1281,11-01-2010
4.1405,12-01-2010
4.1179,13-01-2010
4.1292,14-01-2010
4.1043,15-01-2010
4.1043,16-01-2010
4.1043,17-01-2010
4.1053,18-01-2010
4.1205,19-01-2010
4.1278,20-01-2010
4.1275,21-01-2010
4.1465,22-01-2010
4.1465,23-01-2010
4.1465,24-01-2010
4.1185,25-01-2010
4.1285,26-01-2010
4.1148,27-01-2010
4.136,28-01-2010
4.1055,29-01-2010
4.1055,30-01-2010
4.1055,31-01-2010
4.0863,01-02-2010
4.0915,02-02-2010
4.1005,03-02-2010
4.125,04-02-2010
4.1435,05-02-2010
4.1435,06-02-2010
4.1435,07-02-2010
4.137,08-02-2010
4.128,09-02-2010
4.118,10-02-2010
4.1045,11-02-2010
4.1268,12-02-2010
4.1268,13-02-2010
4.1268,14-02-2010
4.115,15-02-2010
4.1134,16-02-2010
4.1188,17-02-2010
4.1351,18-02-2010
4.131,19-02-2010
4.131,20-02-2010
4.131,21-02-2010
4.127,22-02-2010
4.1241,23-02-2010
4.126,24-02-2010
4.126,25-02-2010
4.1145,26-02-2010
4.1145,27-02-2010
4.1145,28-02-2010
4.111,01-03-2010
4.1066,02-03-2010
4.1005,03-03-2010
4.0885,04-03-2010
4.091,05-03-2010
4.091,06-03-2010
4.091,07-03-2010
4.09,08-03-2010
4.1,09-03-2010
4.095,10-03-2010
4.0953,11-03-2010
4.0915,12-03-2010
4.0915,13-03-2010
4.0915,14-03-2010
4.088,15-03-2010
4.0893,16-03-2010
4.0812,17-03-2010
4.0776,18-03-2010
4.082,19-03-2010
4.082,20-03-2010
4.082,21-03-2010
4.0915,22-03-2010
4.0725,23-03-2010
4.0685,24-03-2010
4.0633,25-03-2010
4.0718,26-03-2010
4.0718,27-03-2010
4.0718,28-03-2010
4.0682,29-03-2010
4.0715,30-03-2010
4.097,31-03-2010
4.1081,01-04-2010
4.1081,02-04-2010
4.1081,03-04-2010
4.1081,04-04-2010
4.1081,05-04-2010
4.094,06-04-2010
4.0943,07-04-2010
4.1185,08-04-2010
4.1423,09-04-2010
4.1423,10-04-2010
4.1423,11-04-2010
4.128,12-04-2010
4.139,13-04-2010
4.144,14-04-2010
4.1411,15-04-2010
4.1463,16-04-2010
4.1463,17-04-2010
4.1463,18-04-2010
4.1578,19-04-2010
4.147,20-04-2010
4.137,21-04-2010
4.1416,22-04-2010
4.124,23-04-2010
4.124,24-04-2010
4.124,25-04-2010
4.1178,26-04-2010
4.128,27-04-2010
4.137,28-04-2010
4.137,29-04-2010
4.13,30-04-2010
4.13,01-05-2010
4.13,02-05-2010
4.127,03-05-2010
4.142,04-05-2010
4.1713,05-05-2010
4.1805,06-05-2010
4.188,07-05-2010
4.188,08-05-2010
4.188,09-05-2010
4.1683,10-05-2010
4.1798,11-05-2010
4.174,12-05-2010
4.1805,13-05-2010
4.1845,14-05-2010
4.1845,15-05-2010
4.1845,16-05-2010
4.1926,17-05-2010
4.195,18-05-2010
4.1965,19-05-2010
4.2031,20-05-2010
4.195,21-05-2010
4.195,22-05-2010
4.195,23-05-2010
4.182,24-05-2010
4.1839,25-05-2010
4.1711,26-05-2010
4.1465,27-05-2010
4.1646,28-05-2010
4.1646,29-05-2010
4.1646,30-05-2010
4.1855,31-05-2010
4.1868,01-06-2010
4.1873,02-06-2010
4.19,03-06-2010
4.2135,04-06-2010
4.2135,05-06-2010
4.2135,06-06-2010
4.2359,07-06-2010
4.2165,08-06-2010
4.2157,09-06-2010
4.2203,10-06-2010
4.2193,11-06-2010
4.2193,12-06-2010
4.2193,13-06-2010
4.2275,14-06-2010
4.2358,15-06-2010
4.236,16-06-2010
4.2355,17-06-2010
4.24,18-06-2010
4.24,19-06-2010
4.24,20-06-2010
4.2315,21-06-2010
4.2315,22-06-2010
4.2235,23-06-2010
4.2375,24-06-2010
4.286,25-06-2010
4.286,26-06-2010
4.286,27-06-2010
4.3405,28-06-2010
4.3738,29-06-2010
4.37,30-06-2010
4.3442,01-07-2010
4.3013,02-07-2010
4.3013,03-07-2010
4.3013,04-07-2010
4.2527,05-07-2010
4.2361,06-07-2010
4.2318,07-07-2010
4.2273,08-07-2010
4.2373,09-07-2010
4.2373,10-07-2010
4.2373,11-07-2010
4.246,12-07-2010
4.2615,13-07-2010
4.2578,14-07-2010
4.2585,15-07-2010
4.2658,16-07-2010
4.2658,17-07-2010
4.2658,18-07-2010
4.273,19-07-2010
4.277,20-07-2010
4.261,21-07-2010
4.267,22-07-2010
4.2648,23-07-2010
4.2648,24-07-2010
4.2648,25-07-2010
4.2563,26-07-2010
4.2478,27-07-2010
4.2545,28-07-2010
4.2654,29-07-2010
4.2508,30-07-2010
4.2508,31-07-2010
4.2508,01-08-2010
4.2448,02-08-2010
4.241,03-08-2010
4.2562,04-08-2010
4.2538,05-08-2010
4.246,06-08-2010
4.246,07-08-2010
4.246,08-08-2010
4.2328,09-08-2010
4.2365,10-08-2010
4.238,11-08-2010
4.2375,12-08-2010
4.2303,13-08-2010
4.2303,14-08-2010
4.2303,15-08-2010
4.2313,16-08-2010
4.2383,17-08-2010
4.2385,18-08-2010
4.226,19-08-2010
4.227,20-08-2010
4.227,21-08-2010
4.227,22-08-2010
4.2238,23-08-2010
4.2418,24-08-2010
4.2405,25-08-2010
4.252,26-08-2010
4.2435,27-08-2010
4.2435,28-08-2010
4.2435,29-08-2010
4.2344,30-08-2010
4.2568,31-08-2010
4.2648,01-09-2010
4.2698,02-09-2010
4.2795,03-09-2010
4.2795,04-09-2010
4.2795,05-09-2010
4.2868,06-09-2010
4.2919,07-09-2010
4.2875,08-09-2010
4.282,09-09-2010
4.274,10-09-2010
4.274,11-09-2010
4.274,12-09-2010
4.2608,13-09-2010
4.2355,14-09-2010
4.2475,15-09-2010
4.2458,16-09-2010
4.258,17-09-2010
4.258,18-09-2010
4.258,19-09-2010
4.264,20-09-2010
4.2668,21-09-2010
4.259,22-09-2010
4.267,23-09-2010
4.2418,24-09-2010
4.2418,25-09-2010
4.2418,26-09-2010
4.243,27-09-2010
4.2685,28-09-2010
4.275,29-09-2010
4.2718,30-09-2010
4.2655,01-10-2010
4.2655,02-10-2010
4.2655,03-10-2010
4.2759,04-10-2010
4.278,05-10-2010
4.272,06-10-2010
4.2648,07-10-2010
4.2643,08-10-2010
4.2643,09-10-2010
4.2643,10-10-2010
